ticker,fiscal_year,fiscal_quarter,end_date,stock_price
2590,2022,4,2023-01-20,4665
2593,2005,1,2005-07-29,2755
2593,2005,2,2005-10-31,2790
2593,2005,3,2006-01-31,4015
2593,2005,4,2006-04-28,4210.6363243603755
2593,2006,1,2006-07-31,4140
2593,2006,2,2006-10-31,3710
2593,2006,3,2007-01-31,3690
2593,2006,4,2007-04-27,3999.0564659942565
2593,2007,1,2007-07-31,3620
2593,2007,2,2007-10-31,2430
2593,2007,3,2008-01-31,2290
2593,2007,4,2008-04-30,1800
2593,2008,1,2008-07-31,1603
2593,2008,2,2008-10-31,1555
2593,2008,3,2009-01-30,1255.9852984193365
2593,2008,4,2009-04-30,1202
2593,2009,1,2009-07-31,1489
2593,2009,2,2009-10-30,1529.9678902438634
2593,2009,3,2010-01-29,1346.0026558180405
2593,2009,4,2010-04-30,1457
2593,2010,1,2010-07-30,1358.9129695679717
2593,2010,2,2010-10-29,1292.9604327979732
2593,2010,3,2011-01-31,1414
2593,2010,4,2011-04-28,1431.0010105434114
2593,2011,1,2011-07-29,1405.7951480115016
2593,2011,2,2011-10-31,1338
2593,2011,3,2012-01-31,1295
2593,2011,4,2012-04-27,1447.9940443387536
2593,2012,1,2012-07-31,1489
2593,2012,2,2012-10-31,1502
2593,2012,3,2013-01-31,1777
2593,2012,4,2013-04-30,2345
2593,2013,1,2013-07-31,2297
2593,2013,2,2013-10-31,2204
2593,2013,3,2014-01-31,2217
2593,2013,4,2014-04-30,2185
2593,2014,1,2014-07-31,2519
2593,2014,2,2014-10-31,2203
2593,2014,3,2015-01-30,2263.2039460241695
2593,2014,4,2015-04-30,2490
2593,2015,1,2015-07-31,2884
2593,2015,2,2015-10-30,2536
2593,2015,3,2016-01-29,3220
2593,2015,4,2016-04-28,3360
2593,2016,1,2016-07-29,3795
2593,2016,2,2016-10-31,3830
2593,2016,3,2017-01-31,3750
2593,2016,4,2017-04-28,4039.90889923772
2593,2017,1,2017-07-31,4080
2593,2017,2,2017-10-31,3965
2593,2017,3,2018-01-31,4505
2593,2017,4,2018-04-27,4369.904435412901
2593,2018,1,2018-07-31,4985
2593,2018,2,2018-10-31,4810
2593,2018,3,2019-01-31,4835
2593,2018,4,2019-04-26,5529.804167422689
2593,2019,1,2019-07-31,4775
2593,2019,2,2019-10-31,5290
2593,2019,3,2020-01-31,5350
2593,2019,4,2020-04-30,5980
2593,2020,1,2020-07-31,6220
2593,2020,2,2020-10-30,6609.250557657099
2593,2020,3,2021-01-29,6530
2593,2020,4,2021-04-30,6050
2593,2021,1,2021-07-30,6449.725777316578
2593,2021,2,2021-10-29,7579.685052958292
2593,2021,3,2022-01-31,6160
2593,2021,4,2022-04-28,5340
2593,2022,1,2022-07-29,6259.723233139362
2593,2022,2,2022-10-31,5250
2593,2022,3,2023-01-31,4615
2593,2022,4,2023-04-28,4204.946910783126
2594,2005,1,2005-06-30,1483
